"ID","DATAISTITUZIONE","DATACESSAZIONE","CODISTAT","CODCATASTALE","DENOMINAZIONE_IT","DENOMTRASLITTERATA","ALTRADENOMINAZIONE","ALTRADENOMTRASLITTERATA","ID_PROVINCIA","IDPROVINCIAISTAT","IDREGIONE","IDPREFETTURA","STATO","SIGLAPROVINCIA","FONTE","DATAULTIMOAGG","COD_DENOM"
12560,"1866-11-19","1924-11-13","028001","A001","ABANO","ABANO","","",28,"028","05","","C","PD","","2016-06-17","028500"
1,"1924-11-14","9999-12-31","028001","A001","ABANO TERME","ABANO TERME","","",28,"028","05","PD","A","PD","","2016-06-17",""
3,"1864-04-01","1928-12-05","001801","A003","ABBADIA ALPINA","ABBADIA ALPINA","","",1,"001","01","","C","TO","","2017-11-11",""
5,"1861-03-17","1992-04-15","015001","A004","ABBADIA CERRETO","ABBADIA CERRETO","","",15,"015","03","","C","MI","","2016-06-17",""
4,"1992-04-16","9999-12-31","098001","A004","ABBADIA CERRETO","ABBADIA CERRETO","","",98,"098","03","LO","A","LO","","2016-06-17",""
6,"1928-03-06","1992-04-15","013001","A005","ABBADIA LARIANA","ABBADIA LARIANA","","",13,"013","03","","C","CO","","2016-06-17",""
7,"1992-04-16","9999-12-31","097001","A005","ABBADIA LARIANA","ABBADIA LARIANA","","",97,"097","03","LC","A","LC","","2016-06-17",""
8,"1867-07-22","9999-12-31","052001","A006","ABBADIA SAN SALVATORE","ABBADIA SAN SALVATORE","","",52,"052","09","SI","A","SI","","2016-06-17",""
2,"1863-02-23","1928-03-06","013801","A002","ABBADIA SOPRA ADDA","ABBADIA SOPRA ADDA","","",13,"013","03","","C","CO","","2016-06-17",""
11,"1861-03-17","1927-07-27","092001","A007","ABBASANTA","ABBASANTA","","",92,"092","20","","C","CA","","2016-06-17",""
9,"1934-11-02","1946-08-23","092001","A007","ABBASANTA","ABBASANTA","","",92,"092","20","","C","CA","","2016-06-17",""
17678,"1946-08-24","1950-06-15","092001","A007","ABBASANTA","ABBASANTA","","",92,"092","20","","C","CA","","2016-06-17",""
17679,"1950-06-16","1974-08-19","092001","A007","ABBASANTA","ABBASANTA","","",92,"092","20","","C","CA","","2016-06-17",""
10,"1974-08-20","9999-12-31","095001","A007","ABBASANTA","ABBASANTA","","",95,"095","20","OR","A","OR","","2016-06-17",""
17681,"1861-03-17","1927-01-11","069803","A008","ABBATEGGIO","ABBATEGGIO","","",69,"069","13","","C","CH","","2016-06-17",""
17680,"1927-01-12","1929-05-22","068001","A008","ABBATEGGIO","ABBATEGGIO","","",68,"068","13","","C","PE","","2017-11-11",""
12,"1947-01-10","9999-12-31","068001","A008","ABBATEGGIO","ABBATEGGIO","","",68,"068","13","PE","A","PE","","2016-06-17",""
13,"1931-12-22","1947-09-15","701701","A009","ABBAZIA","ABBAZIA","","",701,"701","EX","","C","FU","","2017-07-14",""
14,"1869-04-05","9999-12-31","015002","A010","ABBIATEGRASSO","ABBIATEGRASSO","","",15,"015","03","MI","A","MI","","2016-06-17",""
15,"1861-03-17","1927-01-11","013962","A011","ABBIATEGUAZZONE","ABBIATEGUAZZONE","","",13,"013","03","","C","CO","","2016-06-17",""
17682,"1927-01-12","1928-06-18","012801","A011","ABBIATEGUAZZONE","ABBIATEGUAZZONE","","",12,"012","03","","C","VA","","2017-11-11",""
16,"1936-07-26","2016-12-31","047001","A012","ABETONE","ABETONE","","",47,"047","09","","C","PT","","2017-01-18",""
22759,"2017-01-01","9999-12-31","047023","M376","ABETONE CUTIGLIANO","ABETONE CUTIGLIANO","","",47,"047","09","PT","A","PT","","2017-01-10",""
17,"1861-03-17","9999-12-31","076001","A013","ABRIOLA","ABRIOLA","","",76,"076","17","PZ","A","PZ","","2016-06-17",""
18,"1938-07-09","9999-12-31","088001","A014","ACATE","ACATE","","",88,"088","19","RG","A","RG","","2016-06-17",""
17683,"1861-03-17","1927-08-05","064809","A015","ACCADIA","ACCADIA","","",64,"064","15","","C","AV","","2016-06-17",""
19,"1927-08-06","9999-12-31","071001","A015","ACCADIA","ACCADIA","","",71,"071","16","FG","A","FG","","2016-06-17",""
20,"1861-03-17","9999-12-31","004001","A016","ACCEGLIO","ACCEGLIO","","",4,"004","01","CN","A","CN","","2016-06-17",""
17684,"1861-03-17","1927-01-11","076802","A017","ACCETTURA","ACCETTURA","","",76,"076","17","","C","PZ","","2016-06-17",""
21,"1927-01-12","9999-12-31","077001","A017","ACCETTURA","ACCETTURA","","",77,"077","17","MT","A","MT","","2016-06-17",""
22,"1861-03-17","9999-12-31","066001","A018","ACCIANO","ACCIANO","","",66,"066","13","AQ","A","AQ","","2016-06-17",""
17685,"1861-03-17","1927-01-11","066808","A019","ACCUMOLI","ACCUMOLI","","",66,"066","13","","C","AQ","","2016-06-17",""
23,"1927-01-12","9999-12-31","057001","A019","ACCUMOLI","ACCUMOLI","","",57,"057","12","RI","A","RI","","2016-06-17",""
24,"1861-03-17","9999-12-31","076002","A020","ACERENZA","ACERENZA","","",76,"076","17","PZ","A","PZ","","2016-06-17",""
25,"1920-10-16","1923-02-13","802001","A021","ACERETO","ACERETO","AHORNACH","AHORNACH",22,"022","04","","C","TN","","2019-06-04",""
21552,"1923-02-14","1927-01-11","022943","A021","ACERETO","ACERETO","AHORNACH","AHORNACH",22,"022","04","","C","TN","","2019-06-04",""
21553,"1927-01-12","1929-02-08","021801","A021","ACERETO","ACERETO","AHORNACH","AHORNACH",21,"021","04","","C","BZ","","2016-06-17",""
21886,"1920-10-16","1923-02-13","802105","A022","ACERNES","ACERNES","TSCHERMS","TSCHERMS",22,"022","04","","C","TN","","2019-06-04",""
21887,"1923-02-14","1923-04-26","022970","A022","ACERNES","ACERNES","TSCHERMS","TSCHERMS",22,"022","04","","C","TN","","2019-07-22","021506"
27,"1861-03-17","9999-12-31","065001","A023","ACERNO","ACERNO","","",65,"065","15","SA","A","SA","","2016-06-17",""
